dyna_id,id,speed
0.0,0.0,64.12464141845703
1.0,0.0,61.7158317565918
2.0,0.0,60.58953094482422
3.0,0.0,59.49758529663086
4.0,0.0,59.81123733520508
5.0,0.0,58.762664794921875
6.0,0.0,58.519142150878906
7.0,0.0,57.88339614868164
8.0,0.0,58.35627365112305
9.0,0.0,58.22823715209961
10.0,0.0,58.490234375
11.0,0.0,58.62229537963867
12.0,1.0,59.93434524536133
13.0,1.0,60.85149002075195
14.0,1.0,59.32712173461914
15.0,1.0,58.48895263671875
16.0,1.0,59.79500198364258
17.0,1.0,59.90406036376953
18.0,1.0,59.81491470336914
19.0,1.0,60.3134880065918
20.0,1.0,62.218231201171875
21.0,1.0,63.48038101196289
22.0,1.0,64.438232421875
23.0,1.0,64.38656616210938
24.0,2.0,60.14397430419922
25.0,2.0,60.895973205566406
26.0,2.0,60.69968795776367
27.0,2.0,60.86117172241211
28.0,2.0,60.93858337402344
29.0,2.0,60.881858825683594
30.0,2.0,60.99064254760742
31.0,2.0,61.16842269897461
32.0,2.0,62.3810920715332
33.0,2.0,62.50957489013672
34.0,2.0,62.69955062866211
35.0,2.0,62.58974075317383
36.0,3.0,59.3103141784668
37.0,3.0,56.9360466003418
38.0,3.0,54.79969787597656
39.0,3.0,55.62689208984375
40.0,3.0,56.822120666503906
41.0,3.0,58.020545959472656
42.0,3.0,59.33612823486328
43.0,3.0,60.419166564941406
44.0,3.0,60.966758728027344
45.0,3.0,61.38227844238281
46.0,3.0,61.827796936035156
47.0,3.0,62.01364517211914
48.0,4.0,62.87884521484375
49.0,4.0,57.803749084472656
50.0,4.0,59.981300354003906
51.0,4.0,58.75050735473633
52.0,4.0,61.086551666259766
53.0,4.0,60.416053771972656
54.0,4.0,61.31258773803711
55.0,4.0,60.48719787597656
56.0,4.0,59.845924377441406
57.0,4.0,59.38534927368164
58.0,4.0,59.443363189697266
59.0,4.0,59.4084358215332
60.0,5.0,57.91117477416992
61.0,5.0,61.395748138427734
62.0,5.0,65.75414276123047
63.0,5.0,67.6893081665039
64.0,5.0,66.01211547851562
65.0,5.0,64.4336929321289
66.0,5.0,63.27709197998047
67.0,5.0,61.84890365600586
68.0,5.0,61.02671813964844
69.0,5.0,59.79110336303711
70.0,5.0,59.15452575683594
71.0,5.0,58.76908874511719
72.0,6.0,63.20064926147461
73.0,6.0,64.62800598144531
74.0,6.0,63.102760314941406
75.0,6.0,64.72319793701172
76.0,6.0,62.98302459716797
77.0,6.0,61.856231689453125
78.0,6.0,59.86540603637695
79.0,6.0,58.170494079589844
80.0,6.0,56.413700103759766
81.0,6.0,56.01714324951172
82.0,6.0,56.01552200317383
83.0,6.0,56.58130645751953
84.0,7.0,55.987789154052734
85.0,7.0,53.95650863647461
86.0,7.0,54.38850021362305
87.0,7.0,57.18836975097656
88.0,7.0,60.96732711791992
89.0,7.0,62.314178466796875
90.0,7.0,63.42156982421875
91.0,7.0,62.83148193359375
92.0,7.0,62.32216262817383
93.0,7.0,61.54237747192383
94.0,7.0,61.07865524291992
95.0,7.0,60.78220748901367
96.0,8.0,58.09869384765625
97.0,8.0,52.947975158691406
98.0,8.0,55.12017059326172
99.0,8.0,56.19272232055664
100.0,8.0,58.67835235595703
101.0,8.0,59.027687072753906
102.0,8.0,59.6789665222168
103.0,8.0,59.05678176879883
104.0,8.0,58.184879302978516
105.0,8.0,57.496463775634766
106.0,8.0,56.99828338623047
107.0,8.0,56.45909118652344
108.0,9.0,58.79499053955078
109.0,9.0,58.79185485839844
110.0,9.0,58.98400115966797
111.0,9.0,59.978172302246094
112.0,9.0,59.5463981628418
113.0,9.0,59.76823806762695
114.0,9.0,58.90334701538086
115.0,9.0,58.08979415893555
116.0,9.0,57.1960563659668
117.0,9.0,56.42215347290039
118.0,9.0,56.020416259765625
119.0,9.0,55.86879348754883
120.0,10.0,58.933921813964844
121.0,10.0,56.587032318115234
122.0,10.0,56.85965347290039
123.0,10.0,56.394630432128906
124.0,10.0,58.01826858520508
